learning rate: 0.0001
momentum: 0.9
batch size: 64
train Loss: 0.025427555665373802 	Acc: 0.42796

val Loss: 0.01963813230395317 	Acc: 0.5654

train Loss: 0.0178334079682827 	Acc: 0.59996

val Loss: 0.0162937231361866 	Acc: 0.6382

train Loss: 0.01531123835593462 	Acc: 0.65618

val Loss: 0.014586054719984531 	Acc: 0.6764

train Loss: 0.013849733397364616 	Acc: 0.69146

val Loss: 0.013622975908219814 	Acc: 0.6968

train Loss: 0.01279069297015667 	Acc: 0.71432

val Loss: 0.01291400846093893 	Acc: 0.7123

train Loss: 0.011985119432210922 	Acc: 0.73288

val Loss: 0.012340380810201168 	Acc: 0.7264

train Loss: 0.01129773911088705 	Acc: 0.74824

val Loss: 0.011844635009765625 	Acc: 0.7415

train Loss: 0.010781781747937202 	Acc: 0.75936

val Loss: 0.011541776359081268 	Acc: 0.746

train Loss: 0.010288644582033157 	Acc: 0.77064

val Loss: 0.0113374600186944 	Acc: 0.7505

train Loss: 0.009879331104457378 	Acc: 0.77784

val Loss: 0.011063690297305584 	Acc: 0.7577

train Loss: 0.009321211837232113 	Acc: 0.79312

val Loss: 0.010848111473023891 	Acc: 0.7636

train Loss: 0.009075864218175411 	Acc: 0.79676

val Loss: 0.01058145146816969 	Acc: 0.7696

train Loss: 0.008693946525454521 	Acc: 0.80614

val Loss: 0.010429187677800655 	Acc: 0.7763

train Loss: 0.008357591927051544 	Acc: 0.81308

val Loss: 0.010215150192379951 	Acc: 0.7777

train Loss: 0.008064684458076954 	Acc: 0.81922

val Loss: 0.010210501030087471 	Acc: 0.7797

train Loss: 0.00778523925691843 	Acc: 0.82542

val Loss: 0.010138875804841518 	Acc: 0.7826

train Loss: 0.007502207066863775 	Acc: 0.833

val Loss: 0.010060627944767475 	Acc: 0.7833

train Loss: 0.007248507346957922 	Acc: 0.83774

val Loss: 0.009902781806886196 	Acc: 0.7883

train Loss: 0.006988137029111385 	Acc: 0.84434

val Loss: 0.009913180954754353 	Acc: 0.789

train Loss: 0.00665699690580368 	Acc: 0.85068

val Loss: 0.009970687329769135 	Acc: 0.7892

train Loss: 0.0065392013639211655 	Acc: 0.85304

val Loss: 0.009971942752599716 	Acc: 0.7927

train Loss: 0.00626195315271616 	Acc: 0.85988

val Loss: 0.009861060418188572 	Acc: 0.7909

train Loss: 0.006060636602342129 	Acc: 0.86416

val Loss: 0.009881170466542244 	Acc: 0.796

train Loss: 0.005862752441316843 	Acc: 0.86738

val Loss: 0.009844486601650715 	Acc: 0.7936

train Loss: 0.005618324037641287 	Acc: 0.87438

val Loss: 0.009841342456638813 	Acc: 0.7987

train Loss: 0.005408994387835264 	Acc: 0.87912

val Loss: 0.009816614910960197 	Acc: 0.7977

train Loss: 0.005273434799164534 	Acc: 0.8825

val Loss: 0.009817039594054222 	Acc: 0.7994

train Loss: 0.005141405388712883 	Acc: 0.88338

val Loss: 0.009789396077394485 	Acc: 0.8028

train Loss: 0.004863070324063301 	Acc: 0.89162

val Loss: 0.009887306950986385 	Acc: 0.7983

train Loss: 0.004644600674510002 	Acc: 0.89726

val Loss: 0.010081051848828793 	Acc: 0.7988

train Loss: 0.004503630101680756 	Acc: 0.8995

val Loss: 0.010000688955187798 	Acc: 0.8004

train Loss: 0.004321844782680273 	Acc: 0.9045

val Loss: 0.010069388896226883 	Acc: 0.8005

train Loss: 0.004232424311339855 	Acc: 0.90582

val Loss: 0.01008108351379633 	Acc: 0.8018

train Loss: 0.004067392088472843 	Acc: 0.90952

val Loss: 0.010166637599468231 	Acc: 0.8033

train Loss: 0.003947890363633633 	Acc: 0.91228

val Loss: 0.010074843652546406 	Acc: 0.8043

train Loss: 0.0038059258367866278 	Acc: 0.91688

val Loss: 0.010203554295003414 	Acc: 0.8047

train Loss: 0.0036973992828279734 	Acc: 0.9187

val Loss: 0.010281618684530258 	Acc: 0.8019

train Loss: 0.0034851008094847202 	Acc: 0.92298

val Loss: 0.010356742888689041 	Acc: 0.8057

train Loss: 0.0033782310783863068 	Acc: 0.92614

val Loss: 0.010423100553452969 	Acc: 0.8034

train Loss: 0.0032416393514722586 	Acc: 0.92852

val Loss: 0.010560749098658562 	Acc: 0.8035

train Loss: 0.0031189497094601393 	Acc: 0.93096

val Loss: 0.010677749291062355 	Acc: 0.8024

train Loss: 0.002942754188552499 	Acc: 0.93624

val Loss: 0.010769492946565151 	Acc: 0.8036

train Loss: 0.0028628201689571142 	Acc: 0.9379

val Loss: 0.010885345749557018 	Acc: 0.8003

train Loss: 0.0027685961686074734 	Acc: 0.93894

val Loss: 0.010895592160522938 	Acc: 0.8027

train Loss: 0.0026865422260016203 	Acc: 0.94194

val Loss: 0.01109636202454567 	Acc: 0.8026

train Loss: 0.0025687674060463905 	Acc: 0.9444

val Loss: 0.011068522930145264 	Acc: 0.8034

train Loss: 0.0024599884636700153 	Acc: 0.946

val Loss: 0.011149052530527115 	Acc: 0.8056

train Loss: 0.002350063528865576 	Acc: 0.94838

val Loss: 0.01117594912648201 	Acc: 0.808

train Loss: 0.0022601026576012373 	Acc: 0.95172

val Loss: 0.011398138478398323 	Acc: 0.804

train Loss: 0.002168340142816305 	Acc: 0.95314

val Loss: 0.011360403150320053 	Acc: 0.803

