learning rate: 0.001
momentum: 0.9
batch size: 64
train Loss: 0.02911660075187683 	Acc: 0.31698

val Loss: 0.0188644677400589 	Acc: 0.5572

train Loss: 0.022579660639166832 	Acc: 0.4797

val Loss: 0.014874709770083427 	Acc: 0.6683

train Loss: 0.019904065877199173 	Acc: 0.55134

val Loss: 0.013294655829668045 	Acc: 0.7044

train Loss: 0.018110934644937515 	Acc: 0.5992

val Loss: 0.012475842610001564 	Acc: 0.7206

train Loss: 0.016882946714758873 	Acc: 0.62866

val Loss: 0.011767554096877575 	Acc: 0.7431

train Loss: 0.01600484363734722 	Acc: 0.64748

val Loss: 0.010890134610235691 	Acc: 0.7584

train Loss: 0.015356920659542084 	Acc: 0.66204

val Loss: 0.010517606511712074 	Acc: 0.7682

train Loss: 0.014665213413536549 	Acc: 0.6776

val Loss: 0.010242288932204247 	Acc: 0.7778

train Loss: 0.01413832325488329 	Acc: 0.69182

val Loss: 0.009937681257724762 	Acc: 0.7813

train Loss: 0.013771099969744682 	Acc: 0.69928

val Loss: 0.009647058323025703 	Acc: 0.79

train Loss: 0.013270692899823189 	Acc: 0.70866

val Loss: 0.009439907968044281 	Acc: 0.7908

train Loss: 0.012946314178407192 	Acc: 0.7173

val Loss: 0.009204855188727379 	Acc: 0.7966

train Loss: 0.012539409101009369 	Acc: 0.72522

val Loss: 0.009062563069164753 	Acc: 0.8002

train Loss: 0.012361674569547176 	Acc: 0.7307

val Loss: 0.009029554203152657 	Acc: 0.8024

train Loss: 0.012193153612315655 	Acc: 0.73376

val Loss: 0.008784945122897625 	Acc: 0.8084

train Loss: 0.011864924803376198 	Acc: 0.74132

val Loss: 0.008701692335307598 	Acc: 0.8093

train Loss: 0.011538510210812092 	Acc: 0.74686

val Loss: 0.00840878114104271 	Acc: 0.8174

train Loss: 0.011383465491235256 	Acc: 0.7519

val Loss: 0.008415941148996353 	Acc: 0.8171

train Loss: 0.011232390068471432 	Acc: 0.7572

val Loss: 0.008485048078000546 	Acc: 0.8173

train Loss: 0.01088197436183691 	Acc: 0.76168

val Loss: 0.008118695579469204 	Acc: 0.8244

train Loss: 0.010768458247184753 	Acc: 0.76614

val Loss: 0.008083623833954334 	Acc: 0.8252

train Loss: 0.010667753405869007 	Acc: 0.76842

val Loss: 0.007921217009425163 	Acc: 0.8247

train Loss: 0.010417887009680271 	Acc: 0.77378

val Loss: 0.007868502289056778 	Acc: 0.8315

train Loss: 0.01023882906883955 	Acc: 0.77842

val Loss: 0.007894458249211311 	Acc: 0.8302

train Loss: 0.010110966861248016 	Acc: 0.77892

val Loss: 0.007863054983317852 	Acc: 0.829

train Loss: 0.009978899732232094 	Acc: 0.78318

val Loss: 0.007778337690979242 	Acc: 0.8321

train Loss: 0.009872367605566978 	Acc: 0.78444

val Loss: 0.00773273129016161 	Acc: 0.833

train Loss: 0.009705403819680214 	Acc: 0.78882

val Loss: 0.007584702223539352 	Acc: 0.8368

train Loss: 0.009551869705319405 	Acc: 0.79196

val Loss: 0.0075100986286997795 	Acc: 0.8353

train Loss: 0.009469826705753803 	Acc: 0.7929

val Loss: 0.007540873717516661 	Acc: 0.8355

train Loss: 0.009319488890469074 	Acc: 0.79542

val Loss: 0.007407559081912041 	Acc: 0.8383

train Loss: 0.009212242439389229 	Acc: 0.79898

val Loss: 0.007472693454474211 	Acc: 0.836

train Loss: 0.009098706766963005 	Acc: 0.80082

val Loss: 0.007421240676194429 	Acc: 0.84

train Loss: 0.008996416814625263 	Acc: 0.80444

val Loss: 0.0073103345930576324 	Acc: 0.8398

train Loss: 0.00889912061393261 	Acc: 0.80488

val Loss: 0.007283571641892195 	Acc: 0.8415

train Loss: 0.008854723535478115 	Acc: 0.80564

val Loss: 0.007241907995194197 	Acc: 0.8422

train Loss: 0.008600138127803802 	Acc: 0.8093

val Loss: 0.0074356612749397755 	Acc: 0.8405

train Loss: 0.008485975675284863 	Acc: 0.81298

val Loss: 0.007076202891767025 	Acc: 0.8502

train Loss: 0.008482596836984158 	Acc: 0.81258

val Loss: 0.007057333830744028 	Acc: 0.8455

train Loss: 0.008362316526472569 	Acc: 0.81724

val Loss: 0.007081417832523584 	Acc: 0.8456

train Loss: 0.008308504708111286 	Acc: 0.81952

val Loss: 0.007197655271738768 	Acc: 0.8467

train Loss: 0.008206485770642757 	Acc: 0.81978

val Loss: 0.007162276189774275 	Acc: 0.8475

train Loss: 0.0081243384629488 	Acc: 0.82202

val Loss: 0.007166692987084389 	Acc: 0.8474

train Loss: 0.008033747784793377 	Acc: 0.82574

val Loss: 0.006999550387263298 	Acc: 0.8502

train Loss: 0.007901816628873348 	Acc: 0.8267

val Loss: 0.007006350439041853 	Acc: 0.8474

train Loss: 0.007911465130746365 	Acc: 0.82662

val Loss: 0.006982274353504181 	Acc: 0.8473

train Loss: 0.007809126283973455 	Acc: 0.828

val Loss: 0.006993852090090513 	Acc: 0.8492

train Loss: 0.007666284218430519 	Acc: 0.83232

val Loss: 0.006985906977206469 	Acc: 0.8491

train Loss: 0.00763913057744503 	Acc: 0.83214

val Loss: 0.006936741527169943 	Acc: 0.8494

train Loss: 0.0075593371875584126 	Acc: 0.83446

val Loss: 0.006896585691720247 	Acc: 0.8485

Training complete in 107m 12s
Best val Acc: 0.851000
