learning rate: 0.002
momentum: 0.9
batch size: 64
train Loss: 0.034077610820531845 	Acc: 0.1849
val Loss: 0.02734234556555748 	Acc: 0.3171

train Loss: 0.028969384729862213 	Acc: 0.29614
val Loss: 0.023182664066553116 	Acc: 0.441

train Loss: 0.025985712185502052 	Acc: 0.37922
val Loss: 0.01946124993264675 	Acc: 0.5393

train Loss: 0.02391624264419079 	Acc: 0.44008
val Loss: 0.017366724088788033 	Acc: 0.6025

train Loss: 0.022257238626480103 	Acc: 0.48872
val Loss: 0.016086876392364502 	Acc: 0.642

train Loss: 0.020955858752131462 	Acc: 0.5279
val Loss: 0.014599090442061424 	Acc: 0.6734

train Loss: 0.01993330381810665 	Acc: 0.55576
val Loss: 0.014383863657712936 	Acc: 0.6816

train Loss: 0.019282152876257896 	Acc: 0.57232
val Loss: 0.013668250292539597 	Acc: 0.7019

train Loss: 0.018567346036434174 	Acc: 0.59178
val Loss: 0.012954235076904297 	Acc: 0.7138

train Loss: 0.01795228011906147 	Acc: 0.60754
val Loss: 0.012397690676152706 	Acc: 0.7285

train Loss: 0.017463861033320427 	Acc: 0.62028
val Loss: 0.012139562517404556 	Acc: 0.7345

train Loss: 0.016940610483288765 	Acc: 0.62972
val Loss: 0.012447204440832138 	Acc: 0.7292

train Loss: 0.016669170930981636 	Acc: 0.63738
val Loss: 0.011662488803267479 	Acc: 0.7441

train Loss: 0.016251584514975548 	Acc: 0.6465
val Loss: 0.011302188038825989 	Acc: 0.7506

train Loss: 0.015953928232192993 	Acc: 0.65504
val Loss: 0.011365837417542934 	Acc: 0.7502

train Loss: 0.015700094401836395 	Acc: 0.66094
val Loss: 0.01095651090145111 	Acc: 0.759

train Loss: 0.01533625926822424 	Acc: 0.6666
val Loss: 0.010944327339529991 	Acc: 0.7651

train Loss: 0.01509533915668726 	Acc: 0.67348
val Loss: 0.010986551642417908 	Acc: 0.7613

train Loss: 0.015023731626570225 	Acc: 0.67618
val Loss: 0.010680655017495155 	Acc: 0.7691

train Loss: 0.014726578257977962 	Acc: 0.68144
val Loss: 0.010342564433813095 	Acc: 0.7733

train Loss: 0.014573575928807259 	Acc: 0.68558
val Loss: 0.010514588095247746 	Acc: 0.7726

train Loss: 0.014271833002567291 	Acc: 0.693
val Loss: 0.010159757919609547 	Acc: 0.7816

